"portugues","tupi"
"Não se hão de esvanecer nem um pouco minhas palavras acerca daqueles futuros fatos","n'i rambûé-mirĩî xûé aîpó tekorama resé xe nhe'engane"
"Vamos para quebrar as cabeças dos reis","îasó tubixaba akanga kábo"
"São João criancinha, estando no ventre, ao perceber tua vinda, ficou saltando","são joão pitangĩ, tygépe o endápe, nde rura andupápe, o por-oporĩ"
"Ficaste detendo contigo alguma pessoa?","ererokûé-rokûerype abá amõ?"
"Por isso mesmo o homem se confessa a seu substituto, o padre","nd'e'i te'e abá soŷpyra abaré supé onhemombegûabo"
"Tu te compadeceste deles quando eles estavam doentes, tirando-lhes fogo?","eresaûsubarype i mba'easyreme, satá-á"
"Assa-me o Lourenço tostado, embora eu seja um rei","xe resy lorẽ-ka'ẽ, xe morubixaba biã"
"de que parte? de que lado?","marãngoty suí?"
"Existe meu auxiliar verdadeiro, o que trabalha junto de mim","oîkobé xe pytybõanameté, xe pyri marãtekoara"
"Dormiu demais seu cadáver?","okeretápe se'õmbûera?"
"Vim de novo para externar minha alegria","aîur-y bé xe roryba mombegûabo"
"Levou sua filha Maria quando se completaram três anos","o membyra maria rerasóû mosapyr ro'y sykeme"
"Eu estou cansado","xe kane'õ"
"Eu estava pendente","xe apy'am"
"Aqui é minha casa","iké xe roka"
"Hei de ir junto de ti, hoje, para comer aqueles reis","t'asó nde pyri, kori, aîpó tubixaba gûabo"
"Castiga o maldito, fazendo-o correr","moxy oînupã, i monhana"
"E Judas não se afligiu junto aos judeus por entregar a seu senhor?","a'epe îudas n'oîkotebẽî îudeus supé o îara me'engagûera resé?"
"Antes que ela saiba, vamos para levar os malditos","i kuab'e'ymebé, îasó muru rerasóbo"
"Até mesmo seus ossinhos cultua","i kangûerĩ tiruã momba'etéû"
"inimiga do diabo","anhanga sumarã"
"Trazei também a ingapema!","ingapema bé peru!"
"vara","ybyrá'ĩ"
"Pode também tomá-lo algumas vezes em outros dias?","e'ikatu bépe amõ 'ara pupé amõme asé tara?"
"Põe mais outro","enhonong-y bé amõ"
"Pelo menos eu","ixé te'ĩé"
"Como disseram os judeus, seus perseguidores, para ele?","marã e'ipe îudeus i piaretá i xupé?"
"Acreditas em falsas oferendas?","ererobîápe îetanonga'uba?"
"casa de terra","yby-oka"
"Em nossa testa põe a cruz e sobre nosso coração também","asé sybápe cruz moíni asé nhy'ã 'arybo bé"
"Este dia honramos Nele, os judeus agiram em conjunto, com pedras, ficando a atirar em Santo Estêvão, quebrando sua cabeça","kó 'ara îamoeté i pupé îudeus itá reropotyrõû, santo estevão apîá-apîábo, i akanga kábo"
"Fachos para iluminar o caminho pela escuridão","sesaý pytumimbyka rupi pé resapébo"
"Talvez ele fosse se eu dissesse","osó ipóne re'a gûi'îabo mona'ẽ"
"Não faz efeito, às vezes, nosso remédio, fazendo avivar mais a doença","sarûab amõme asé posangygûaba, mara'ara moîerobu-bé-uká"
"Fica pondo armadilhas, querendo fazer a gente entrar","oîekotyrũ-tyrung, oporomoingé-potá"
"Somos desiguais um do outro","oroîoaby"
"este outro","kó-te"
"Atravessando o céu, foi, deixando-te","ybaka rasapa, osó, nde reîá"
"Bem feito! Ambos queimareis em conjunto","iîamuru! mokõîbé pekaî oîepegûasune"
"Assim deve ser","emonã ruãpe é"
"Eu sou aquele em quem se deve acreditar, o que tem nome Guaixará","ixé serobîarypyra, gûaîxará seryba'e"
"Por isso mesmo fez nosso pai primeiro como nosso progenitor","nd'e'i te'e îandé rubypyrama monhanga îandé nhemonhangabamo"
"Assim que acaba a vida que Deus nos dá, a morte nos derrota","tekobé îandébe tupã remime'enga syka bé, te'õ îandé moaûîéû"
"Oh, muito bem!","té, aûîé nipó!"
"Que estejam atacando gente","t'oporepenhã oîkóbo"
"Quanto mais um caminhante por um caminho que não conhece se aflige, mais deseja logo ver o dia","memeté rakó pé o eminguabe'yma rupi oguataba'e o angekotebẽnamo, korikorinhẽa'ub 'ara repîaki"
"Ontem, aos brancos deram combate","kûesé, karaíba ri i pokoki"
"o que fica aumentando seus pecados","o angaîpaba irumõ-rumõsara"
"Tinha também fome, tinha também sede como nós?","i ambyasy bépe, i 'useî bépe asé îabé?"
"Não tem limite, não tem fim","-n'i sykabi, n'i papabi"
"Seu sangue era muito, oprimindo sua alma","sugûy turusu, i 'anga apypyka"
"Quando ele mama, ela fica alegre","i kambuneme, sory"
"Por isso mesmo repreendeu a seu companheiro","nd'e'i te'e o apixara akakapa"
"Tomando o diabo, o maldito fica pisando","serubu rá, muru ri opurũ-purung"
"Na casa de quem passaste tomando-as, antes de te esconderes?","abá rokype erekûá tá, nhemim-y îanondé?"
"Não corrigindo seu filho quando ele estiver no mal","o a'yra marãbirĩ sekóreme senonhene'yma"
"Maravilhou-te a vista de homens belos?","nde angerasópe abá-porangepîaka?"
"ir para a guerra","marãmonhangápe só"
"a mãe de meus filhos","xe ra'ysy"
"Não brigarão?","- nd'omarãmonhangi xópene?"
"A água transformou em vinho","y anhẽ monhangi kaûĩnamo"
"Entram grandes espinhos, espetando sua cabeça","oîké îugûasu, i akanga kutuka"
"Peca muito o homem, benzendo falsamente as pessoas?","i angaîpabetépe abá oporomongaraiba'upa?"
"Antigamente frequentavas nossa terra, amando-a","akûeîme eresapekó oré retama, saûsupa"
"O diabo te agasta","anhanga nde moabaîté"
"Tomaste remédio, não querendo ficar grávida?","ereposangu'upe nde puru'apotare'ymamo?"
"Expulsou-o do Paraíso Terreal, sua morada","oîmosem paraíso terreal sekoaba suí"
"Eu sou moçacara, eu sou forte","xe posaká, xe ratã"
"Destruiremos a aldeia, como de costume","îamombá taba îandune"
"Quando tu vieste, já o tinha matado","nde rureme aîuká umûan"
"Tenho-o por costume","aîpokugûab"
"Atraíste alguma mulher para junto de teu próximo?","ereîmonharõpe kunhã amõ nde rapixara pyri?"
"a segunda vez dele","i mokõîa"
"Pus entradas no rosto dele","asobagûá-moín"
"A gente não se esquece do que é saboroso só na aparência","seba'e-a'uba nhote resé asé na sesaraî"
"Desejando ardentemente ver tua face","nde robá repîaka'upa"
"Isso é referente a mim, isso é o que me concerne","xe resendûara ebokûea"
"Eu sou luzente","xe rendypuk"
"Lacei a perna dele","asetymã-maman"
"Irei hoje ao mar","asó kori paranãmene"
"Bem à sua semelhança o fez?","gûupi-katupe i monhangi?"
"Minha morte não há de ser ainda","nd'e'i ipó xe re'õnama ranhẽ re'a"
"velha maldosa","gûaîbĩ-marã"
"Eia, advogada nossa!","ene'ĩ, oré îeruresar!"
"Em que parte do corpo ele o flechou?","i mba'epepe i nhybõû?"
"Odeiam-te, expulsar-te-ão","nde reroŷrõ, nde mombóne"
"Dando para ele alguma semelhante a si","i xupé o apixara amõ me'enga"
"Tu fizeste mexericos, contando as palavras de teu próximo?","nde mba'epûerype nde rapixarĩ nhe'engûera mombegûabo?"
"Ah, muito bem!","erĩ, aûîé!"
"Que amemos nosso pai, nosso verdadeiro criador","t'orosaûsu îandé ruba, îandé monhangareté"
"Eu, tão somente","ixé anhotenhẽ"
"Para esse belo procedimento, a gente a mantém em seu próprio quarto , aí dependurando o recipiente em que a bebe","aîpó tekoporanga resé asé serekóû o kotype, a'epe i moîasekóbo i gûaburu"
"ouvir o sermão do padre","abaré nhe'ẽnhe'enga renduba"
"Após morrer seu filho, ama todos os homens","o membyra re'õ ré opabĩ abá raûsubi"
"Estou em guerra","aîkó marana ri"
"íngua de virilha","akó-a'ynha"
"Que não vá longe a esposa","t'osó umẽ temirekó kûepe"
"Não querendo sua infelicidade","sekomemûã potare'yma"
"Não querendo que o diabo esteja como seu senhor","anhanga o îaramo sekó potare'yma"
"Eu tenho o rabo cortado","xe rûaîasyk"
"Está alegre, como eu, meu pai tupiniquim","soryb, xe îabé, xe ruba tupinakyîa"
"Piorei muito de meu grande pecado","aîerekoaíbeté xe angaîpá-katu suí"
"Calei minhas palavras","aîopyk xe nhe'enga"
"manchas brancas do cabelo","a-titinga"
"Invocando a Deus ou sua própria alma ou a cruz ou algo verdadeiro","tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa"
"Deixa que venha","t'oúne turi"
"Buscando seu Senhor, ao chegarem os reis, alegrou-se teu coração","o îara reká, reîá mbasembápe sory nde py'a"
"Contaste a maldade de alguém?","ereîmombe'upe abá rekopoxŷagûera?"
"entrando em tua casa","nde rokype oîkébo"
"Não está em conformidade comigo, não é igual a mim","na xe îáî"
"cocho de porcos","taîasu remi'uru"
"Como recompensa de seu afastamento da vida má","tekó-angaîpaba suí o îepe'aagûera repyramo"
"Após seres grande, serás mãe de Deus","nde reburusu riré, tupã syramo ereîkóne"
"E quanto a ti, Boiuçu?","marãpe nde, mboîusu?"
"Eia, hei de ir contigo","ne'ĩ, t'asó nde irũmo"
"Ainda não estou cozido","nd'a'éî gûiîypa ranhẽ"
"Meu anzol muito ditoso há de pescar para ti, puxando bem os canapus e as arabaianas verdadeiras","xe pindá-porangeté t'opindaîtykyne endébo, kunapu rekyîetébo, gûaraobanhaneté"
"Por quantas coisas a gente pede?","mboby mba'e resépe asé îeruréû?"
"Tão logo ouvindo o teu nome, o diabo está tremendo","nde rera rendupa abé, anhanga ryryî okûapa"
"Transgridem muito a palavra de Deus os que se casam, traindo-se um ao outro?","oîaby-etépe omendaryba'e tupã nhe'enga o îosuí omondarõmo?"
"Tornou-te mais formosa que ela","nde moaysó-eté i xuí"
"lugar onde estará teu filho","nde membyra rendaûama"
"Ele dorme Não o acordes!","okerĩ nd'eremombaki!"
"Mordo-lhe a cabeça","aî'a-su'u"
"Eu meço a profundidade do rio","aty-ypy-a'ang"
"Ele, certamente, faz tirar-lhe o efeito de mim","a'e ipó oîmoarybé-ukar xe suí"
"flechar gente","moro-ybõ"
"o que socorre gente","morepenhandara"
"o mais cedo possível, em um momento","korite'ĩ-aíb-eté"
"Eu estou lacrimejando","xe resa'y-sa'y"
"Revelou-se a eles somente, alegrando-os","oîepîakukar i xupé nhõ i moesãîa"
"Trazei alguns assentos","peru apykaba amõ"
"Se eu tivesse ido","mba'emeémo asó"
"O que entrou em vossas almas","pe 'angyme oîkeba'epûera"
"Nomeia os muitos designativos de teu corpo para mim","esenõî nde reté renõîndabetá ixébe"
"Como se eu dissesse","xe 'é îasûaramo n'aé"
"Tendo-os no pescoço","o aîuri serekóbo"
"Como vos parece?","marãete'ĩ-pipó peẽmo?"
"Vendi coisas","amba'e-ma'e'ĩ"
"Lembra-te já do término de tuas coisas","nde ma'enduar nde rekó pabagûama resé rá"
"Podem deixar um do outro?","e'ikatupe o îosuí opo'i?"
"Mas eu me esqueci completamente","xe resaraî-te-katu"
"Jejuaste por causa da primeira menstruação de tua filha?","ereîekuakupe nde raîyra nhemondy'ara resé?"
"Destruiu outrora os tamoios","tamũîa omombab erimba'e"
"Não querem que vos toquem","pe atõîa n'oîpotari"
"gosto de carne","so'o ré"
"Cresceram muito as águas","our paranã - subiu a água do mar ourusu 'y"
"À direita de Jesus somente tu estás","îesu 'ekatûápe nde nhõ ereimbé"
"e portanto","emonãnamo é"
"O que bebe somente na medida, que acontece?","oîá nhote kagûarape, marã?"
"Vai à fonte","kûãî 'ype"
"Deus fez uma certa mulher bondosa","tupã amõ kunhãngatu monhangi"
"Vamos comigo","t'îasó xe irũnamo"
"Não nos deixes tu fazer cair em tentação","oré mo'arukar umẽ îepé tentação pupé"
"mentira","temo'ema"
"Contudo, após sua morte, no terceiro dia voltou a viver","aûîeté, gûe'õ ré, 'ara mosapyra resé bé sekobeîebyri"
"Obedeço às palavras dele","aînhe'engapîar"
"Porventura a tentação é coisa semelhante a um laço?","îusana abŷare'yma nhẽ serã tentação?"
"Bem no teu coração disseste isso?","nde py'ape-katupe aîpó eré?"
"Portanto, prantear as pessoas isso as enternece","irõ moroapirõ a'e oporomomby'ar"
"Arranco lenha","aîepe'abar"
"o que arde comigo","xe irũnamo okaîba'e"
"Caem às vezes os frutos de suas árvores sendo ainda flores, outras vezes em seu estado verde, outras vezes caem após madurarem","okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî"
"prato raso","nha'ẽ-mbeba"
"o que é cego","sesabyba'e"
"Para que Deus criou a esposa dele? -Para sua futura ajudante","-mba'erama resépe tupã semirekorama monhangi? -i pytybõsarama resé"
"Eu sou muito manchado","xe rabará-barab"
"Não está dia","nd'e'i 'ara"
"sua orelha arrancada","i nambi-mondokypyra"
"Cortei um pedaço","asykûera aîasy'ab"
"Corrige-os, censura-os, para que queiram livrar-se do inferno","enonhẽ, eîakaká, t'oîepysyrõ-motá anhanga ratá suí"
"Atravessar a água elimina a sujeira dos pés","y aé rasaba mby ky'a îaîmomemûã"
"casa de barro","nhau'umoka"
"metal vivo, isto é, o mercúrio","itá-ekobé"
"O que manda a um falso pajé ficar defumando a si","paîea'uba supé onhemotimbó-timborukaryba'e"
"Não falto à igreja","n'aîmopanemi tupãoka"
"Deus revelar-se-á a mim","tupã îepîakukari xebene"
"Dentro dessa igreja Maria cresceu","kó tupãoka pupé maria kakuabi"
"Não por me amar","na xe raûsupeî"
"Com ele honrando-te","i ndibé nde moetébo"
"Eu sou mal-encarado","xe robasy"
"Indo para a borda da floresta","ka'a-embe'ype osóbo"
"Ensinando tu a ti mesmo","eîembo'ebo"
"Até mesmo gritou comigo","xe aká tekatu nhẽ"
"Voltou a vir aonde tinha deixado seus discípulos?","oú-îebype erimba'e o boîá reîasagûerype?"
"Não sabes que Deus expulsou nosso pai primeiro por causa de um só ato seu?","nd'ereîkuabipe tupã îandé rubypy oîepé nhõ sekoaba suí i mosemagûera?"
"Vai neste dia","osó kó 'ara pupé"
"O que nos faz estar segundo a vontade de Deus","tupã remimotara rupi asé moingosara"
"Eu estava ainda cansado","xe pûeraî mbyté"
"alguns santos","amõ amõ santos"
"Eis que aí pertinho vem","ebokûeté'ĩ turi"
"Envergonha-se o sol de nascer, diante de teu brilho","otĩ kûarasy osema, nde beraba robaké"
"Eu não sou grave nos meus atos","na xe rekoposyî"
"Sendo ignorantes, sem mais, assim me tratam","o tekokuabe'ymamo nhẽ emonã xe rerekóû"
"Todas as línguas dos homens por aí afora fê-los conhecer?","opakatupe kûeîpe abá nhe'enga kuabukari i xupé?"
"Vou de madrugada","îeîbé asó"
"Beijei-o","aîpyter"
"Não desiste nosso inimigo de sempre nos tentar","n'i apori oré sumarã îepi nhẽ oré ra'anga"
"parida, mulher que gerou filhos","membyrasara"
"Fazendo-me enxergar","xe moma'ẽmo"
"protetora dos aflitos","moreaûsuba rerekoara"
"Aqueles serão os futuros habitantes do fundo de nosso fogo","aîpó îandé ratá gûyra porama"
"Tiveste cobiça pelas coisas de alguém?","ereîemomotápe abá mba'e resé?"
"Pelos montes voando, fui para fazer pecar os tupis","ybytyrybo gûibebébo, asó tupi moangaîpapa"
"Deixei ontem minha casa para ouvir a missa dentro desta","aseîá kûesé xe roka kó pupé missa rendupa"
"Procedo bem, tendo a intenção de ir para o céu","aîkó-katu t'asóne ybakype ûi'îabo"
"muitas coisas miúdas","mirĩ-mirĩ"
"Se o que Deus fez neste mundo é muito belo, quanto mais lá, o céu primeiro","ikó 'ara pupé abiã tupã remimonhangûera i porãngatu, memetipó ebapó ybakypy"
"Pensa em vir para vos espantar","oú-mo'ang pe mondyîa"
"Acusando uma mulher para seu marido","kunhã kuauká i mena supé"
"Após lançar fora de seu meio os vícios, o homem não os faz voltar consigo para seu meio, dispersando-os","o koty suí mba'epoxy reîtyk'iré, abá nd'ogûeroîebyri o kotype, i mosãîa"
"Qual é o outro meio de curar nossa alma?","marãpe amoaé îandé 'anga posanongaba?"
"Contaste o mau procedimento de alguém, que somente tu viste, para as pessoas?","ereîmombe'upe abá rekopoxŷagûera oîepebẽ nde remiepîakûera abá supé?"
"Para cima suas pernas mandou pregar","ybaté koty ogûetymã moîarukari"
"Oxalá ele viesse!","our be'ĩmo mã!"
"Hei de comer hoje seus braços, Caburé, suas pernas","t'a'u kori i îybapûera, kaburé, setymãmbûera"
"Lavando a maldade de nossa alma","oré 'anga poxy reîa"
"Apoiando-me na vossa valentia, quero ir","pe ratãngatu resé gûiîekoka, asó-potá"
"Passamos uns atrás dos outros","orokûaka'ar"
"Os guardadores de cabra querem visitar seu Senhor","sygûasumé rerekoara oîosu-potá o îara"
"flor de planta, flor","ybotyra"
"Fizemos procissão","orotupãerogûatá"
"Sim, esses me satisfazem","îé, aîpó xe moytarõ"
"Acaso todo o seu intestino caiu pela fissura de sua cintura?","opakatu serã sygeapûá-kuîamo i ku'a sorokaba rupi?"
"Machuco-lhe a cabeça","aî'apirungá"
"Eu sou risonho","xe pukasûer"
"por que seria que? por que razão haveria de?","marãpemo?"
"Do nada fez nossa alma, com sua palavra é que ele a fez","nama'eruã oîmonhang asé 'angamo, o nhe'enga pupé é i monhangi"
"Não me faças demorar","xe mombuku umẽ îepé"
"Quando a gente se batiza, põe seu próprio entendimento?","asé îemongaraíme o 'ara moíni?"
"Foi agora de primeira vez","aramõ"
"estorvo do anzol, isto é, corda com que se reata este","pindá-aŷpypûasaba"
"o que está junto de Deus","tupã pyri oîkoba'e"
"Não porque não queira","n'i potare'ỹme ruã"
"Mesmo replicando as palavras de alguém a gente transgride a palavra de Deus?","abá nhe'enga poepyka tiruãpe asé tupã nhe'enga abyû?"
"Acudi-o","asopenhan"
"Eu sou calvo","xe 'apytereb"
"ajuntamento de taquaruçu","takûarusu-tyba"
"Bordei-o","asemberung"
"E porventura na hóstia está Jesus Cristo?","a'e serãne hóstia pupé îesu cristo rekóû?"
"Oh, que fulano este!","te'ĩ kó ahẽ mã!"
"Dei coisas para outra pessoa que não a meu pai","aîme'eng mba'e xe ruba taté nhẽ"
"linha de pescar delgada","pindasã-po'i"
"Por isso mesmo os que tiram seu chapéu para eles transgridem a palavra de Deus","nd'e'i te'e i xupé o akangaó-'okara tupã nhe'enga abŷabo"
"antigo jazigo","tupagûera"
"A terceira dele é a satisfação dos cônjuges","i momosapysaba mendara moîekosupaba"
"Mas que nós não paremos de chamá-la","îandé-te îapyk umẽ senõîa"
